mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2510083637.0	10180.0	2197972.0	7357.0	0.9960264924670573	0.995389810121767	0.9999970690305581	0.0033360101826076746	0.9966639898173923	0.9966639898173923	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2511245849.0	5894.0	1040046.0	4098.0	0.9952193308977055	0.9943648775264355	0.9999983681433204	0.003924746012044316	0.9960752539879557	0.9960752539879557	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512079794.0	1975.0	210020.0	512.0	0.9941139856151205	0.9906837425410977	0.9999997961848597	0.00243193433777288	0.9975680656622271	0.9975680656622271	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512064966.0	1093.0	225730.0	603.0	0.996257359496509	0.9951812646865618	0.9999997599584949	0.0026642160003181154	0.9973357839996819	0.9973357839996819	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	1.0			0.9999999996019571	1.0	0.0	0.0	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512263547.0	96.0	28146.0	35.0	0.9976782517767577	0.9966008073082643	0.9999999860683408	0.001241971541109258	0.9987580284588907	0.9987580284588907	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291516.0	14.0	259.0	2.0	0.9700374531835205	0.9487179487179487	0.999999999203914	0.007662835249042145	0.9923371647509579	0.9923371647509579	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-clair3-All	All	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2508570364.0	19252.0	3702173.0	12608.0	0.9957155570999513	0.994826712885521	0.999994974055018	0.003394008960420547	0.9966059910395795	0.9966059910395795	HG001	wgsHC	-1	-2	bwa2a	clair3
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2510083758.0	9457.0	2198574.0	2178.0	0.9973609497224063	0.9957169985385169	0.9999991323006241	0.0009896617156317476	0.9990103382843682	0.9990103382843682	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2511246043.0	5215.0	1040531.0	1464.0	0.9968008483810972	0.9950131293832346	0.999999417022816	0.0014049971448999276	0.9985950028551001	0.9985950028551001	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512079514.0	1367.0	210908.0	216.0	0.9962612098753186	0.993560240254387	0.999999914015468	0.001023095432068358	0.9989769045679316	0.9989769045679316	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	3.0			0.9999999988058712	1.0	0.0	0.0	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512064661.0	693.0	226435.0	231.0	0.9979638338100548	0.9969488570321581	0.9999999080437768	0.0010191206444724837	0.9989808793555275	0.9989808793555275	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	bwa2a	deep
