mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2510084109.0	8336.0	2199344.0	3935.0	0.9972180652778682	0.996224090447891	0.9999984323259061	0.0017859744498994452	0.9982140255501005	0.9982140255501005	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2511246564.0	4647.0	1040578.0	2320.0	0.996663510722309	0.9955540673060824	0.9999990761568817	0.0022245703798453925	0.9977754296201546	0.9977754296201546	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512079534.0	795.0	211460.0	218.0	0.99761047146601	0.996254505194224	0.9999999132193157	0.0010298661174047373	0.9989701338825953	0.9989701338825953	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291788.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512064579.0	672.0	226538.0	230.0	0.9980131195784818	0.9970423836979007	0.9999999084418526	0.0010142524518450575	0.998985747548155	0.998985747548155	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512263642.0	69.0	28078.0	22.0	0.9983821359361388	0.9975485842185668	0.9999999912429574	0.0007829181494661922	0.9992170818505338	0.9992170818505338	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2512291513.0	3.0	273.0	0.0	0.994535519125683	0.9891304347826086	1.0	0.0	1.0	1.0	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-All	All	RIH0_ANA0-HG001-19_DBC0_0	2512291789.0	2508570995.0	14522.0	3706272.0	6725.0	0.9971418351686239	0.9960970696039608	0.9999973191980673	0.0018112053416687382	0.9981887946583312	0.9981887946583312	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG002-19_DBC0_0-sent-sentd-SNPts	SNPts	RIH0_ANA0-HG002-19_DBC0_0	2542242843.0	2539963736.0	11453.0	2267654.0	3810.0	0.9966459154246796	0.9949747861772177	0.999998499980834	0.0016773323284014186	0.9983226676715986	0.9983226676715986	HG002	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG002-19_DBC0_0-sent-sentd-SNPtv	SNPtv	RIH0_ANA0-HG002-19_DBC0_0	2542242843.0	2541158424.0	5972.0	1078447.0	2123.0	0.9962609509794276	0.9944929035732498	0.9999991645549501	0.00196470381372794	0.9980352961862721	0.9980352961862721	HG002	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG002-19_DBC0_0-sent-sentd-INS_50	INS_50	RIH0_ANA0-HG002-19_DBC0_0	2542242843.0	2542005059.0	965.0	236819.0	333.0	0.9972670001852881	0.9959416949836827	0.9999998690010646	0.0014041627310754285	0.9985958372689245	0.9985958372689245	HG002	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG002-19_DBC0_0-sent-sentd-INS_gt50	INS_gt50	RIH0_ANA0-HG002-19_DBC0_0	2542242843.0	2542242828.0	14.0	1.0	1.0	0.11764705882352941	0.06666666666666667	0.9999999996066465	0.5	0.5	0.5	HG002	wgsHC	-1	-2	sent	sentd
