2025-01-30 13:20:10 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.metal-48xl, Spot price: 3.280000 USD/hour
2025-01-30 14:28:39 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.metal-48xl, Spot price: 3.280000 USD/hour
2025-01-30 16:14:03 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.metal-48xl, Spot price: 3.280000 USD/hour
2025-01-30 17:54:05 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.304800 USD/hour
2025-01-30 19:41:38 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.304800 USD/hour
2025-01-30 20:21:14 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.304800 USD/hour
2025-01-30 21:00:38 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.304800 USD/hour
2025-01-30 21:35:23 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.304800 USD/hour
2025-01-30 22:16:09 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.308300 USD/hour
2025-01-30 23:01:14 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.308300 USD/hour
2025-01-30 23:39:06 - Region: us-west-2, AZ: us-west-2d, Instance type: m7i.48xlarge, Spot price: 3.308300 USD/hour
