Region-AZ	  #InstanceTypes	MedianSpot$	 MinSpot$   	          MaxSpot$   	          HarmonicMeanSpot $  	          SpotStability	          FASTQ(GB) 	BAM(GB)	          CRAM(GB)	          snvVCF(GB)	          snvgVCF(GB)	          svVCF(GB)	Other(GB) 	          $pervCPU-min-harmonic	          ~EC2$harmonic
1. us-west-2a    	6	  4.05300	  3.07210	  7.51820	  4.03769	  4.44610	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00035	 10.62228
2. us-west-2b    	6	  3.63135	  2.72910	  5.22400	  3.56099	  2.49490	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00031	  9.36818
3. us-west-2c    	6	  3.70420	  2.82090	  4.33140	  3.48730	  1.51050	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00030	  9.17433
4. us-west-2d    	6	  3.17575	  2.53510	  5.08350	  3.23388	  2.54840	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00028	  8.50765
5. us-east-1a    	6	  3.20125	  2.56950	  4.52450	  3.23666	  1.95500	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00028	  8.51495
6. us-east-1b    	6	  2.86870	  2.01560	  4.95330	  2.76636	  2.93770	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00024	  7.27771
7. us-east-1c    	6	  2.75295	  1.92010	  4.58940	  2.81487	  2.66930	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00024	  7.40530
8. us-east-1d    	6	  2.92815	  2.42950	  4.31550	  2.98510	  1.88600	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00026	  7.85315
9. ap-south-1a   	6	  3.43070	  0.85680	  5.41880	  1.89914	  4.56200	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00016	  4.99624
10. ap-south-1b  	6	  3.03770	  0.94340	  6.02230	  1.90737	  5.07890	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00017	  5.01787
11. ap-south-1c  	6	  2.99565	  2.38160	  5.54560	  3.16949	  3.16400	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00028	  8.33823
12. ap-south-1d  	0	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan
13. eu-central-1a	6	  2.81435	  1.35660	  7.72690	  2.44822	  6.37030	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00021	  6.44075
14. eu-central-1b	6	  2.01295	  1.33730	  2.42390	  1.87787	  1.08660	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00016	  4.94026
15. eu-central-1c	6	  1.57520	  0.97780	  2.29590	  1.52502	  1.31810	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00013	  4.01199
16. ca-central-1a	6	  4.20255	  3.37760	  5.39230	  4.21754	  2.01470	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00037	 11.09545
17. ca-central-1b	6	  4.16775	  3.63270	  5.62440	  4.35414	  1.99170	 49.50000	 39.00000	 13.20000	  0.12000	  1.20000	  0.12000	  0.00300	  0.00038	 11.45480
18. ca-central-1c	0	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan      	nan
