sample	rule	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	hostname	ip	nproc	cpu_efficiency	instance_type	region_az	spot_cost	snakemake_threads	task_cost
RIH0_ANA0-HG001-19	bwa2a.alNsort	3148.0411	0:52:28	342586.95	658098.46	332864.58	332866.02	16271.17	42100.07	6719.53	2545.33	i192-dy-m7gb768-3	10.0.1.174	192	0.8085	m7i.48xlarge	eu-central-1c	1.811900	192	1.584427
RIH0_ANA0-HG001-19	bwa2a.deep.1	2026.4241	0:33:46	34459.39	203136.12	23381.57	23659.62	4906.35	5242.96	1700.12	98.39	i192-dy-m7gb768-5	10.0.1.226	192	0.0486	m7i.48xlarge	eu-central-1c	1.828900	64	0.343160
RIH0_ANA0-HG001-19	bwa2a.deep.10	934.6060	0:15:34	33954.16	205372.31	23368.19	23646.32	2699.96	3989.84	2181.88	81.83	i192-dy-m7gb768-3	10.0.1.174	192	0.0876	m7i.48xlarge	eu-central-1c	1.828900	64	0.158269
RIH0_ANA0-HG001-19	bwa2a.deep.11	837.6892	0:13:57	33833.07	207901.57	23296.82	23574.83	2103.98	3823.36	2153.82	56.82	i192-dy-m7gb768-3	10.0.1.174	192	0.0678	m7i.48xlarge	eu-central-1c	1.828900	64	0.141856
RIH0_ANA0-HG001-19	bwa2a.deep.12	1355.3252	0:22:35	34493.08	202843.64	22847.48	23125.71	2440.25	3857.70	1359.14	70.99	i192-dy-m7gb768-6	10.0.1.182	192	0.0524	m7i.48xlarge	eu-central-1c	1.828900	64	0.229514
RIH0_ANA0-HG001-19	bwa2a.deep.13	671.2652	0:11:11	34334.10	202880.14	22898.26	23176.72	1811.97	3371.71	2110.78	51.28	i192-dy-c7gb384-1	10.0.1.154	192	0.0764	c7i.48xlarge	eu-central-1c	1.325400	64	0.082379
RIH0_ANA0-HG001-19	bwa2a.deep.14	688.4942	0:11:28	36100.18	202769.42	23034.65	23313.14	1404.46	3090.05	1671.41	53.09	i192-dy-m7gb768-3	10.0.1.174	192	0.0771	m7i.48xlarge	eu-central-1c	1.811900	64	0.115508
RIH0_ANA0-HG001-19	bwa2a.deep.15	969.3640	0:16:09	34440.66	202773.29	22810.02	23087.76	1489.42	3116.88	1320.93	42.94	i192-dy-m7gb768-5	10.0.1.226	192	0.0443	m7i.48xlarge	eu-central-1c	1.828900	64	0.164155
RIH0_ANA0-HG001-19	bwa2a.deep.16	505.5612	0:08:25	33921.18	207981.79	23335.57	23613.61	1456.82	3307.06	2190.53	40.76	i192-dy-m7gb768-4	10.0.1.81	192	0.0806	m7i.48xlarge	eu-central-1c	1.828900	64	0.085613
RIH0_ANA0-HG001-19	bwa2a.deep.17	670.1926	0:11:10	33933.73	207970.39	23322.86	23601.03	1641.89	3381.50	1734.00	55.56	i192-dy-m7gb768-2	10.0.1.189	192	0.0829	m7i.48xlarge	eu-central-1c	1.828900	64	0.113492
