mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618008.0	9174.0	2196543.0	3105.0	0.9972127167669421	0.9958408082269847	0.9999987578117404	0.0014115894906821455	0.9985884105093179	0.9985884105093179	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778190.0	5064.0	1040471.0	1913.0	0.9966583952729967	0.9951565466483666	0.9999992350386995	0.001835216196718292	0.9981647838032817	0.9981647838032817	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611864.0	1314.0	210547.0	247.0	0.9963066803894429	0.9937978202689499	0.9999999012636696	0.001171760107023919	0.9988282398929761	0.9988282398929761	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596724.0	677.0	226324.0	268.0	0.9979166345159648	0.9970176342835494	0.9999998928684353	0.0011827425504872193	0.9988172574495128	0.9988172574495128	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795978.0	52.0	27695.0	47.0	0.9982158626033989	0.9981259235232638	0.9999999812134964	0.0016941821065532406	0.9983058178934467	0.9983058178934467	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823475.0	6.0	244.0	2.0	0.9838709677419355	0.976	0.9999999992005831	0.008130081300813009	0.991869918699187	0.991869918699187	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-deep-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498105614.0	16287.0	3701824.0	5582.0	0.9970548852019326	0.9956195498197875	0.9999977655117959	0.001505634937204072	0.9984943650627959	0.9984943650627959	HG001	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618385.0	9126.0	2196214.0	5550.0	0.9966699220168164	0.9958618625699439	0.999997779666004	0.0025207061247254476	0.9974792938752746	0.9974792938752746	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778727.0	5194.0	1039804.0	3026.0	0.996062894069818	0.9950296555591494	0.9999987899783752	0.0029017193598189542	0.997098280640181	0.997098280640181	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611888.0	801.0	211036.0	377.0	0.9972167749556998	0.996218790862786	0.9999998492971891	0.0017832394412831756	0.9982167605587168	0.9982167605587168	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823724.0	0.0	1.0	1.0	0.6666666666666666	1.0	0.9999999996002916	0.5	0.5	0.5	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596632.0	711.0	226382.0	348.0	0.9976664911209877	0.9968691241033409	0.9999998608888631	0.001534865258236669	0.9984651347417633	0.9984651347417633	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795856.0	68.0	27801.0	24.0	0.9983481164936977	0.9975600129175787	0.9999999904068912	0.0008625336927223719	0.9991374663072776	0.9991374663072776	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823459.0	4.0	262.0	1.0	0.9905482041587901	0.9849624060150376	0.9999999996002915	0.0038022813688212928	0.9961977186311787	0.9961977186311787	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498106321.0	15904.0	3701500.0	9327.0	0.996603363573373	0.9957217456052665	0.9999962663858226	0.002513455895410915	0.997486544104589	0.997486544104589	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618011.0	8565.0	2197149.0	3335.0	0.9972992589075661	0.9961169036420859	0.9999986657979196	0.0015155756642629531	0.998484424335737	0.998484424335737	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778197.0	4661.0	1040867.0	2029.0	0.9967966275047596	0.9955419653993006	0.9999991886532136	0.0019455439468556788	0.9980544560531444	0.9980544560531444	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611866.0	1277.0	210582.0	253.0	0.996380360260614	0.9939724061758056	0.9999998988652166	0.0011999905139089809	0.998800009486091	0.998800009486091	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596721.0	663.0	226341.0	281.0	0.9979189905340523	0.9970793466194429	0.9999998876717554	0.0012399502254856103	0.9987600497745144	0.9987600497745144	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795977.0	50.0	27698.0	45.0	0.9982880106683967	0.998198068329249	0.9999999820129221	0.0016220307825397398	0.9983779692174602	0.9983779692174602	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823474.0	6.0	245.0	1.0	0.9859154929577464	0.9760956175298805	0.9999999996002915	0.0040650406504065045	0.9959349593495935	0.9959349593495935	HG001	wgsHC	-1	-2	sent	deep
