sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
RIH0_ANA0-HG001-19_bwa2a	bwa2a	106750631614	97.219782	148.117441	151	151	14.889445	2.182187	41694517	0.039058	11699893589	10.797439	77482739	10.797439	0	0.0	results/day/b37/RIH0_ANA0-HG001-19/align/bwa2a/RIH0_ANA0-HG001-19.bwa2a.mrkdup.sort.bam	41727461078	409.208194	370	275	177.834677	39892224	0.03737	109096335639	99.356059	722492289	99.356059	105994416927	99.291606	716322463	0.671024	74343909493	68.145194	495602267	68.596202	103682161753	97.125572	53591353887	97.710483	148.603779	151	151	13.431089	21071827	0.039319	20097971	0.037502	54571744582	99.497982	361402282	99.497982	53253781161	99.370099	317474755	0.592399	38605252665	70.7422	257018762	71.117083	52260821551	97.517263	665857544	1.220151	16722340	4.627071	275342460	0.502018	1823460	0.502018	1232758	0.338717	54847087042	363225742	53159277727	96.730057	147.630682	151	151	16.203673	20622690	0.038794	19794253	0.037236	54524591057	99.214418	361090007	99.214418	52740635766	99.212476	398847708	0.750288	35738656828	65.545942	238583505	66.07314	51421340202	96.730698	941549044	1.726834	21934622	6.074558	431727120	0.785582	2859120	0.785582	233936	0.064277	54956318177	363949127	1607406588	1.473383	38656962	5.350502	360856071	727174869	353334856	97.083584	727174869	100.0	707069580	0.643941	4682580	0.643941	1626362	0.446865	717602902	98.683677	640120163	77482739	10.65531	2844416631	2834390972	6482162	526698	0.01698	0.20898	91.378769	2821418972	90.96056	91.701989	2752940606	88.752866	1768317435	57.009309	384513842	12.396455	45536506	832125	0.026827	1.468065	17418200	0.56155	12294153	0.396355	30.70819	31	184.012572	717602902	0	0	717602902	716173046	727174869	109803405219	727174869
RIH0_ANA0-HG001-19_sent	sent	106708203254	97.149584	148.042349	151	151	15.132497	2.15938	42284506	0.039626	11650761058	10.753757	77157358	10.753757	0	0.0	results/day/b37/RIH0_ANA0-HG001-19/align/sent/RIH0_ANA0-HG001-19.sent.mrkdup.sort.bam	42588164922	409.327953	370	275	178.111981	38750667	0.036315	109115271190	99.341034	722617690	99.341034	105957799305	99.29677	711653282	0.666915	74355255000	68.143766	495754824	68.605409	103644888034	97.12926	53572120576	97.64551	148.526995	151	151	13.704098	21361276	0.039874	19569018	0.036528	54584061652	99.489968	361483852	99.489968	53237205074	99.374832	315346484	0.588639	38609111970	70.733307	257070641	71.115387	52243186699	97.519355	680609779	1.246902	16963355	4.692701	279823536	0.510032	1853136	0.510032	1298958	0.356784	54863885188	363336988	53136082678	96.654663	147.557234	151	151	16.424132	20923230	0.039377	19181649	0.036099	54531209538	99.192402	361133838	99.192402	52720594231	99.218067	396306798	0.745834	35746143030	65.551715	238684183	66.092999	51401701335	96.735963	952492708	1.746693	22156523	6.135266	443978505	0.807598	2940255	0.807598	252616	0.069386	54975188043	364074093	1633102487	1.496676	39119878	5.413634	360881222	727411081	353334742	97.050229	727411081	100.0	723802041	0.658966	4793391	0.658966	1641297	0.450814	717492091	98.636398	640334733	77157358	10.607119	2844448237	2834393201	6563305	530990	0.017119	0.211596	91.37884	2821423336	90.960701	91.703008	2752912417	88.751957	1768074382	57.001473	384262849	12.388364	45518393	846497	0.02729	1.467481	17495189	0.564033	12390067	0.399447	30.70911	31	180.623652	717492091	0	0	717492091	715981294	727411081	109839073231	727411081
RIH0_ANA0-HG001-19_strobe	strobe	105815744083	96.82542	125.124207	151	151	59.180188	2.528894	70605227	0.066725	11186896155	10.447101	74085405	10.447101	0	0.0	results/day/b37/RIH0_ANA0-HG001-19/align/strobe/RIH0_ANA0-HG001-19.strobe.mrkdup.sort.bam	39118569312	412.100276	372	275	178.270317	67546314	0.063834	107081341658	97.983489	834019748	98.280215	105082840606	99.307378	665357163	0.628788	74408460686	69.487793	495234271	59.379202	102864591455	97.211046	53131244506	97.315536	125.409697	151	151	58.919033	33430060	0.06292	33519312	0.063088	53658032710	98.280405	418089525	98.534665	52804887867	99.385754	292837327	0.551158	38645642316	72.022101	256945975	61.457166	51852903296	97.593993	526788204	0.981751	14686410	3.512743	938845369	1.719595	6217519	1.465335	2846682	0.670901	54596878079	424307044	52684499577	96.336122	124.837235	151	151	59.440162	37175167	0.070562	34027002	0.064586	53423308948	97.68707	415930223	98.025764	52277952739	99.228337	372519836	0.707077	35762818370	66.94235	238288296	57.29045	51011688159	96.824851	738809371	1.382935	19014122	4.571469	1264899971	2.31293	8376821	1.974236	687380	0.162001	54688208919	424307044	1265597575	1.181903	33700532	4.040735	415242843	848614088	403107450	95.003714	848614088	100.0	2203745340	2.016511	14594340	1.719785	5530139	1.303334	709147958	83.565424	635062553	74085405	8.730164	2844606104	2834125472	6384420	509593	0.016429	0.205829	91.370209	2820745441	90.938846	91.708097	2750309807	88.668051	1754120903	56.551622	376451943	12.136545	44454537	808526	0.026066	1.433183	17243235	0.55591	12213256	0.393747	30.54035	31	177.647558	709147958	0	0	709147958	707070712	848614088	109285086998	848614088
RIH0_ANA0-HG002-19_bwa2a	bwa2a	105234563660	97.243847	147.855156	151	151	15.578082	2.165931	42939435	0.040804	10880161399	10.169966	72054049	10.169966	0	0.0	results/day/b37/RIH0_ANA0-HG002-19/align/bwa2a/RIH0_ANA0-HG002-19.bwa2a.mrkdup.sort.bam	41324261833	415.146799	378	283	180.294515	43337744	0.041182	107751501855	99.569667	713586105	99.569667	104467877075	99.27145	723348841	0.687368	72841120049	67.601025	485993304	68.105769	102217902852	97.133394	52838877061	97.747597	148.359939	151	151	14.122549	21743244	0.04115	21893567	0.041435	53901893784	99.714091	356966184	99.714091	52496657375	99.352334	320326119	0.606232	37875513710	70.267501	252341343	70.690546	51538098116	97.538216	731050622	1.356261	17979137	5.03665	154552124	0.285909	1023524	0.285909	1211121	0.33766	54056445908	357989708	52395686599	96.741066	147.349884	151	151	16.894926	21196191	0.040454	21444177	0.040927	53849608071	99.425522	356619921	99.425522	51971219700	99.189882	403022722	0.769191	34965606339	64.931961	233651961	65.518483	50679804736	96.725147	1017651517	1.889803	23185821	6.50155	311141691	0.574478	2060541	0.574478	213494	0.059522	54160749762	358680462	1748702139	1.622903	41164958	5.768744	356406427	716670170	348872338	97.265498	716670170	100.0	465693815	0.430333	3084065	0.430333	849420	0.236818	708498449	98.859765	636444400	72054049	10.054004	2863215748	2843131255	6870193	619654	0.019977	0.22149	91.660549	2773103342	89.402898	92.308059	2644771899	85.265583	1717323834	55.365311	402503660	12.976434	50368967	944969	0.030465	1.62386	17993546	0.580099	12880903	0.415271	30.48771	31	195.790665	708498449	0	0	708498449	707113224	716670170	108217195670	716670170
RIH0_ANA0-HG002-19_sent	sent	105185594370	97.157462	147.774765	151	151	15.820447	2.149038	43792603	0.041634	10816667258	10.113173	71633558	10.113173	0	0.0	results/day/b37/RIH0_ANA0-HG002-19/align/sent/RIH0_ANA0-HG002-19.sent.mrkdup.sort.bam	42193962393	415.292824	378	283	180.612524	41765084	0.039706	107770266323	99.544863	713710373	99.544863	104425977962	99.277832	717851324	0.682462	72853176377	67.600442	486145510	68.115237	102174436193	97.13729	52816398692	97.66788	148.279416	151	151	14.386181	22166390	0.041969	21149629	0.040044	53913441962	99.696528	357042662	99.696528	52477466070	99.358281	317782993	0.601675	37879469237	70.259787	252386810	70.688138	51517347460	97.54044	743970993	1.379936	18199197	5.097205	164110122	0.303472	1086822	0.303472	1286302	0.358457	54077552084	358129484	52369195678	96.648061	147.269583	151	151	17.121516	21626213	0.041296	20615455	0.039366	53856824361	99.3935	356667711	99.3935	51948511892	99.196696	400068331	0.763938	34973707140	64.938302	233758700	65.539631	50657088733	96.730698	1026649390	1.906257	23381240	6.555469	328634739	0.6065	2176389	0.6065	240190	0.066934	54185459100	358844100	1770620383	1.642958	41580437	5.825954	356427521	716973584	348822593	97.207281	716973584	100.0	492744861	0.455137	3263211	0.455137	890087	0.248043	708319303	98.792943	636685745	71633558	9.991101	2863217186	2843134791	6937592	622987	0.020085	0.223663	91.660663	2773134046	89.403888	92.308105	2644789557	85.266152	1717069345	55.357106	402300809	12.969895	50388722	957836	0.03088	1.624497	18068545	0.582517	12956374	0.417704	30.490135	31	192.153232	708319303	0	0	708319303	706836266	716973584	108263011184	716973584
RIH0_ANA0-HG002-19_strobe	strobe	104291016504	96.85628	123.41538	151	151	60.872315	2.594501	74090155	0.071042	10363277376	9.81002	68630976	9.81002	0	0.0	results/day/b37/RIH0_ANA0-HG002-19/align/strobe/RIH0_ANA0-HG002-19.strobe.mrkdup.sort.bam	38882301529	418.353703	379	283	180.432411	75402711	0.0723	105639712797	98.10883	831922212	98.404832	103539175070	99.279093	676438723	0.648607	72899738855	69.007892	485471386	58.355382	101380882194	97.209602	52375307460	97.373015	123.720594	151	151	60.583822	35434808	0.067656	37538220	0.071672	52940337411	98.423485	417088175	98.671465	52040167825	99.360119	297601415	0.568209	37913566072	71.615649	252203574	60.467687	51121292653	97.605714	565029951	1.067296	15711895	3.767044	847981119	1.576515	5615769	1.328535	2920825	0.690986	53788318530	422703944	51915709044	96.340499	123.108508	151	151	61.159468	38655347	0.074458	37864491	0.072935	52699375386	97.794756	414834037	98.138199	51499007245	99.197349	378837308	0.729716	34986172783	66.388211	233267812	56.231599	50259589541	96.809984	783666342	1.487051	20002247	4.821747	1188355957	2.205244	7869907	1.861801	666687	0.15772	53887731343	422703944	1348696293	1.276694	35714142	4.292967	414167350	845407888	401677775	95.025793	845407888	100.0	2036337076	1.89117	13485676	1.595168	4949082	1.170815	699600747	82.753042	630969771	68630976	8.11809	2863230987	2842638078	6797842	593192	0.019124	0.219158	91.644649	2772014394	89.367792	92.30855	2642208529	85.182942	1705252986	54.976155	395087042	12.737328	49211542	911971	0.029401	1.586545	17809746	0.574174	12818759	0.413268	30.313676	30	189.884326	699600747	0	0	699600747	697517144	845407888	107676049873	845407888
RIH0_ANA0-HG003-19_bwa2a	bwa2a	105901750024	96.93476	147.847818	151	151	15.773372	2.198996	41886955	0.039553	11500512132	10.679722	76162332	10.679722	0	0.0	results/day/b37/RIH0_ANA0-HG003-19/align/bwa2a/RIH0_ANA0-HG003-19.bwa2a.mrkdup.sort.bam	42029097836	423.252261	385	283	183.061934	41669210	0.039347	108424450116	99.243856	718042716	99.243856	105122350977	99.264036	737729837	0.696617	72959728430	67.290845	486947157	67.815904	102759113184	97.032498	53196774917	97.487619	148.393616	151	151	14.199405	21174691	0.039804	20850550	0.039195	54245637281	99.409748	359242631	99.409748	52851715877	99.351353	324208490	0.609451	38015902640	70.081032	253325255	70.516479	51862106640	97.491073	736932755	1.358511	17513328	4.87507	322086926	0.590252	2133026	0.590252	1439437	0.397483	54567724207	361375657	52704975107	96.383065	147.301347	151	151	17.188272	20712264	0.039298	20818660	0.0395	54178812835	99.078313	358800085	99.078313	52270635100	99.175903	413521347	0.784596	34943825790	64.497216	233621902	65.111997	50897006544	96.569643	1046815013	1.932148	23083195	6.433442	504004478	0.921687	3337778	0.921687	280297	0.077401	54682817313	362137863	1783747768	1.645153	40596523	5.653775	358519788	723513520	350864530	96.887005	723513520	100.0	826091404	0.756144	5470804	0.756144	1898341	0.524204	713148992	98.567473	636986660	76162332	10.526732	2863299821	2844605820	6801918	627551	0.020232	0.219289	91.708088	2776162114	89.501511	92.310769	2652093176	85.501616	1738692956	56.054236	390214432	12.580238	44855596	950467	0.030642	1.446113	17388575	0.560595	12601104	0.406251	30.506662	31	198.619687	713148992	0	0	713148992	711474870	723513520	109250541520	723513520
RIH0_ANA0-HG003-19_sent	sent	105853970195	96.853207	147.781033	151	151	15.966597	2.176964	42623844	0.040267	11442596535	10.629228	75778785	10.629228	0	0.0	results/day/b37/RIH0_ANA0-HG003-19/align/sent/RIH0_ANA0-HG003-19.sent.mrkdup.sort.bam	42901539910	423.407159	385	283	183.379053	40415264	0.03818	108433798073	99.213672	718104623	99.213672	105080857219	99.269642	732697712	0.692178	72971591496	67.295984	487079130	67.828435	102716940656	97.036455	53174952287	97.414164	148.326808	151	151	14.408228	21535288	0.040499	20223824	0.038033	54252340926	99.387893	359287026	99.387893	52832866508	99.356679	321861955	0.605289	38019603449	70.079194	253359277	70.517235	51842072514	97.493407	746714645	1.376373	17728626	4.934391	334127666	0.612107	2212766	0.612107	1528646	0.421933	54586468592	361499792	52679017908	96.293482	147.234544	151	151	17.370447	21088556	0.040032	20191440	0.038329	54181457147	99.039834	358817597	99.039834	52247990711	99.181786	410835757	0.779885	34951988047	64.509133	233719853	65.136118	50874868142	96.575202	1051500993	1.940703	23258097	6.481872	525275697	0.960166	3478647	0.960166	312542	0.086267	54706732844	362296244	1798215638	1.658353	40986723	5.707626	358505055	723796036	350795085	96.825482	723796036	100.0	859403363	0.786328	5691413	0.786328	1950001	0.538234	712928383	98.49852	637149598	75778785	10.469632	2863301476	2844592179	6881768	630551	0.020329	0.221863	91.707648	2776177081	89.501994	92.310823	2652065609	85.500727	1738367552	56.043745	389952529	12.571795	44836992	965250	0.031119	1.445513	17440057	0.562255	12676819	0.408692	30.507843	31	194.818254	712928383	0	0	712928383	711136972	723796036	109293201436	723796036
RIH0_ANA0-HG003-19_strobe	strobe	104936520960	96.479634	123.225741	151	151	61.020724	2.581225	72517525	0.069106	10985200472	10.336547	72749672	10.336547	0	0.0	results/day/b37/RIH0_ANA0-HG003-19/align/strobe/RIH0_ANA0-HG003-19.strobe.mrkdup.sort.bam	39587084712	426.338351	387	287	183.02151	72366468	0.068962	106275335368	97.710553	838469352	98.071148	104174769411	99.274083	689385081	0.656954	73012155878	68.700941	486115614	57.976551	101912435049	97.118176	52723181743	97.046556	123.536008	151	151	60.74476	34004396	0.064496	35159117	0.066686	53277087796	98.066121	420522302	98.372362	52387614407	99.36353	300408219	0.569784	38052260551	71.423312	253051964	60.175635	51440670016	97.567461	553906053	1.03967	15142706	3.600928	1050632481	1.933879	6957831	1.627638	3326187	0.778092	54327720277	427480133	52213339217	95.913857	122.913563	151	151	61.29555	38513129	0.073761	37207351	0.07126	52998247572	97.355703	417947050	97.769935	51787155004	99.183764	388976862	0.744976	34959895327	65.964248	233063650	55.763918	50471765033	96.664503	784908355	1.481008	19639215	4.698972	1439495533	2.644297	9533083	2.230065	750935	0.175665	54437743105	427480133	1338814408	1.25976	34781921	4.148264	417196115	854960266	404520601	94.6291	854960266	100.0	2490128014	2.289447	16490914	1.928852	6206896	1.451973	703810168	82.320804	631060496	72749672	8.509129	2863303675	2844089124	6681440	601680	0.019398	0.215405	91.69143	2774939521	89.462096	92.310894	2649358001	85.413436	1725016970	55.613332	381793338	12.308748	43675649	917446	0.029578	1.408072	17159085	0.553197	12472713	0.402111	30.325137	31	193.589033	703810168	0	0	703810168	701414332	854960266	108765463382	854960266
RIH0_ANA0-HG004-19_bwa2a	bwa2a	106309322224	97.054687	148.054922	151	151	15.051539	2.142218	42613946	0.040085	11443432169	10.599956	75784319	10.599956	0	0.0	results/day/b37/RIH0_ANA0-HG004-19/align/bwa2a/RIH0_ANA0-HG004-19.bwa2a.mrkdup.sort.bam	41403403856	404.171382	368	283	172.101906	43125370	0.040566	108691433971	99.229426	719810821	99.229426	105564475843	99.299359	701721011	0.660075	74295511577	68.354523	495521698	68.840546	103333709655	97.200986	53353884974	97.493928	148.490932	151	151	13.758192	21543619	0.040379	21779157	0.04082	54375564627	99.360851	360103077	99.360851	53018408310	99.371224	313697507	0.587956	38471255220	70.750999	256266291	71.164705	52052746005	97.561304	697042186	1.281903	17335377	4.814004	349776551	0.639149	2316401	0.639149	1120141	0.308595	54725341178	362419478	52955437250	96.616124	147.618433	151	151	16.231757	21070327	0.039789	21346213	0.04031	54315869344	99.098205	359707744	99.098205	52546067533	99.226954	388023504	0.732736	35824256357	65.955414	239255407	66.513833	51280963650	96.837957	950991366	1.750854	22023082	6.122493	494275095	0.901795	3273345	0.901795	198032	0.054557	54810144439	362981089	1648033552	1.51625	39358459	5.467889	359509712	725400567	352217467	97.03466	725400567	100.0	844051646	0.770574	5589746	0.770574	2153204	0.5932	714949376	98.559252	639165057	75784319	10.447237	2844307144	2833741808	6371663	536847	0.017308	0.205418	91.35784	2820308670	90.924765	91.698459	2750467158	88.673124	1762963166	56.836691	382941859	12.345776	44926946	824261	0.026574	1.448413	17190957	0.554224	12336690	0.397726	30.652522	31	182.339184	714949376	0	0	714949376	713666038	725400567	109535485617	725400567
