sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
RIH0_ANA0-HG001-19_bwa2a	bwa2a	107425245304	97.93745	148.700885	151	151	13.352167	1.811025	38436542	0.03578	11056649746	10.173296	73222846	10.173296	0	0.0	results/day/hg38/RIH0_ANA0-HG001-19/align/bwa2a/RIH0_ANA0-HG001-19.bwa2a.mrkdup.sort.bam	41333416153	409.229368	371	275	176.371529	37042906	0.034482	109305557313	99.651693	723877863	99.651693	106811665176	99.428831	576537222	0.536687	76165141019	69.680941	507311958	70.082535	104327333075	97.116216	53929184531	98.433514	149.190019	151	151	11.67904	19424906	0.036019	18633793	0.034552	54674693513	99.794244	362084063	99.794244	53664256280	99.508748	246294458	0.4567	39552676961	72.341836	263113317	72.666362	52585628221	97.508666	490641065	0.897382	12881633	3.557636	112728295	0.205756	746545	0.205756	1194679	0.32859	54787421808	362830608	53496060773	97.442405	148.211357	151	151	14.822795	19011636	0.035538	18409113	0.034412	54630863800	99.509435	361793800	99.509435	53147408896	99.348266	330242764	0.617322	36612464058	67.017912	244198641	67.496635	51741704854	96.720589	767171783	1.404283	18219274	5.035817	269321335	0.490565	1783585	0.490565	178398	0.049067	54900185135	363577385	1257812848	1.150731	31100907	4.29643	361615402	726407993	355203940	97.696929	726407993	100.0	382049630	0.348307	2530130	0.348307	588906	0.161975	719755352	99.084173	646532506	73222846	10.080127	2910637217	2889338682	8468245	735956	0.023741	0.273176	93.206803	2871957800	92.646115	93.893869	2798968412	90.29156	1798147324	58.006202	398352063	12.850388	53585025	1193839	0.038512	1.728592	22949140	0.740313	16303891	0.525945	31.121273	31	129.159597	719755352	0	0	719755352	718403034	726407993	109687606943	726407993
RIH0_ANA0-HG001-19_sent	sent	107395599253	97.885896	148.6518	151	151	13.53021	1.827938	38931378	0.03625	11044620935	10.163703	73143185	10.163703	0	0.0	results/day/hg38/RIH0_ANA0-HG001-19/align/sent/RIH0_ANA0-HG001-19.sent.mrkdup.sort.bam	42187158116	409.278054	370	275	176.606919	36107991	0.033621	109317280349	99.637416	723955499	99.637416	106786381685	99.432735	573109577	0.533643	76202565606	69.707703	507628077	70.118685	104302835168	97.120213	53916570013	98.388149	149.14042	151	151	11.881601	19663307	0.03647	18226310	0.033805	54683165670	99.78705	362140170	99.78705	53653523238	99.512123	244820465	0.454073	39569378235	72.36117	263244957	72.691455	52574557274	97.510946	499287605	0.913055	13129405	3.625504	116696273	0.21295	772823	0.21295	1258945	0.346171	54799861943	362912993	53479029240	97.384698	148.162742	151	151	14.983999	19268071	0.036029	17881681	0.033437	54634114679	99.488095	361815329	99.488095	53132858447	99.352698	328289112	0.613865	36633187371	67.051855	244383120	67.543606	51728277894	96.726284	772411122	1.413789	18480528	5.107724	281113529	0.511905	1861679	0.511905	193269	0.053143	54915228208	363677008	1271698727	1.16331	31609933	4.366281	361622060	726590001	355175940	97.662468	726590001	100.0	397809802	0.362584	2634502	0.362584	602734	0.165733	719650980	99.044988	646507795	73143185	10.066638	2910915730	2889397261	8695090	727585	0.023471	0.280494	93.208692	2871900111	92.644254	93.902854	2798748038	90.284451	1797480045	57.984676	397882314	12.835234	53728622	1186365	0.038271	1.733225	23310824	0.751981	16700228	0.53873	31.114988	31	125.444558	719650980	0	0	719650980	718221946	726590001	109715090151	726590001
RIH0_ANA0-HG001-19_strobe	strobe	106964109247	97.898799	121.279016	151	151	61.444896	2.321796	62910193	0.058814	10914083247	10.101818	72278697	10.101818	0	0.0	results/day/hg38/RIH0_ANA0-HG001-19/align/strobe/RIH0_ANA0-HG001-19.strobe.mrkdup.sort.bam	39737308777	411.184615	372	275	176.954183	59794822	0.055902	108040784333	98.884225	873213810	99.0839	106341100516	99.417553	563213909	0.526545	76221188455	70.548533	507257791	58.090903	103968682187	97.199596	53708279424	98.409108	121.565675	151	151	61.190784	29563838	0.055045	29613380	0.055137	54139137434	99.198565	437746982	99.34263	53438014793	99.496791	240651251	0.448071	39588631574	73.123868	263192275	60.124292	52409700013	97.582162	430858010	0.795835	12325840	2.815745	437395660	0.801435	2896660	0.65737	2759356	0.62621	54576533094	440643642	53255829823	97.389487	120.990855	151	151	61.697942	33346355	0.062615	30181442	0.056673	53901646899	98.570499	435466828	98.82517	52903085723	99.337642	322562658	0.605685	36632556881	67.961851	244065516	56.046867	51558982174	96.81378	645817076	1.19814	16773640	3.851875	781698914	1.429501	5176814	1.17483	479202	0.10875	54683345813	440643642	1076675086	0.996545	29099480	3.332458	434987626	881287284	424675584	96.376197	881287284	100.0	1219094574	1.115775	8073474	0.9161	2417458	0.54862	715501883	81.188268	643223186	72278697	8.201491	2911545286	2888252629	8757568	726085	0.023423	0.282509	93.171768	2869648191	92.57161	93.923163	2794121187	90.135194	1781617835	57.472979	388797084	12.542155	51729264	1198349	0.038657	1.668728	22518303	0.726415	16302101	0.525887	31.006763	31	122.078622	715501883	0	0	715501883	713553200	881287284	109259878907	881287284
RIH0_ANA0-HG002-19_bwa2a	bwa2a	105700359496	97.773549	148.406449	151	151	14.263498	1.811485	39526994	0.037395	10143122547	9.468737	67172997	9.468737	0	0.0	results/day/hg38/RIH0_ANA0-HG002-19/align/bwa2a/RIH0_ANA0-HG002-19.bwa2a.mrkdup.sort.bam	40976153688	415.061049	378	283	178.971333	39144864	0.037034	107780592911	99.697779	713778761	99.697779	105077197191	99.410444	584017441	0.552522	74478585555	69.102037	496636223	69.578453	102660493176	97.124072	53071412842	98.279389	148.912083	151	151	12.642012	20021730	0.037726	19753069	0.03722	53915155208	99.841859	357054008	99.841859	52802228781	99.492789	249430992	0.469991	38727749528	71.830915	257881395	72.224759	51760322814	97.529574	567669972	1.052895	14304494	4.006255	85396993	0.158141	565543	0.158141	1163460	0.324696	54000552201	357619551	52628946654	97.268703	147.900349	151	151	15.703582	19505264	0.037062	19391795	0.036846	53865437703	99.553983	356724753	99.553983	52274968410	99.327408	334586449	0.635746	35750836027	66.370641	238754828	66.929706	50900170362	96.715161	854207671	1.585818	19613408	5.498191	241325482	0.446017	1598182	0.446017	153218	0.04276	54106763185	358322935	1421877643	1.319233	33917902	4.751879	356571535	715942486	350108538	97.707544	715942486	100.0	326722475	0.302221	2163725	0.302221	434722	0.121321	709418789	99.088796	642245792	67172997	9.382457	2929446855	2897311601	9042069	722440	0.023305	0.291687	93.464	2821885183	91.030829	94.500647	2688150218	86.71669	1744775844	56.284498	415368006	13.399303	58129684	1339766	0.043219	1.875198	23289941	0.751307	16689859	0.538396	30.863609	31	135.627004	709418789	0	0	709418789	708124508	715942486	108107315386	715942486
RIH0_ANA0-HG002-19_sent	sent	105663247275	97.702924	148.348324	151	151	14.452024	1.83793	40144308	0.037993	10117995392	9.447549	67006592	9.447549	0	0.0	results/day/hg38/RIH0_ANA0-HG002-19/align/sent/RIH0_ANA0-HG002-19.sent.mrkdup.sort.bam	41841771333	415.129495	378	283	179.241235	37837170	0.035809	107795031229	99.674106	713874379	99.674106	105045728410	99.415578	579681695	0.548612	74520096095	69.13129	496982169	69.617594	102628961232	97.128343	53055147143	98.216884	148.855751	151	151	12.842669	20321908	0.038303	19155749	0.036105	53924059074	99.825433	357112974	99.825433	52788487167	99.497391	247504227	0.466504	38746534351	71.85389	258023231	72.25255	51745768349	97.532042	575034372	1.066378	14550581	4.074504	94298292	0.174567	624492	0.174567	1236175	0.344847	54018357366	357737466	52608100132	97.190016	147.840397	151	151	15.88444	19822400	0.037679	18681421	0.035511	53870972155	99.523089	356761405	99.523089	52257241243	99.333071	332177468	0.631419	35773561744	66.406007	238958938	66.980042	50883192883	96.721214	858231887	1.593125	19867594	5.568874	258147788	0.476911	1709588	0.476911	176039	0.049108	54129119943	358470993	1433266259	1.329622	34418175	4.821321	356585366	716208459	350041977	97.64862	716208459	100.0	352446080	0.325894	2334080	0.325894	473413	0.132065	709248434	99.028212	642241842	67006592	9.355739	2929691077	2897366462	9224679	710886	0.022932	0.297578	93.46577	2821840934	91.029401	94.508525	2688046817	86.713354	1744296918	56.269048	415067578	13.389611	58226917	1344413	0.043369	1.878335	23587697	0.760912	17031093	0.549404	30.85845	31	131.458888	709248434	0	0	709248434	707861180	716208459	108147477309	716208459
RIH0_ANA0-HG002-19_strobe	strobe	105213924847	97.736018	119.155038	151	151	63.248939	2.446041	65925655	0.062659	9980092075	9.3826	66093325	9.3826	0	0.0	results/day/hg38/RIH0_ANA0-HG002-19/align/strobe/RIH0_ANA0-HG002-19.strobe.mrkdup.sort.bam	39615990576	417.450443	379	283	179.18167	66417383	0.063126	106368085910	98.808149	872730035	99.03578	104574507037	99.392269	573000427	0.544605	74544976973	70.082089	496383858	56.877137	102265822466	97.197992	52838934144	98.27293	119.463495	151	151	62.964611	31341171	0.059315	33009538	0.062472	53305457374	99.140597	437553367	99.305484	52561069456	99.474129	244855150	0.463399	38769824214	72.731435	257874652	58.935589	51567411886	97.593588	466523230	0.875188	13328943	3.046244	462079932	0.859403	3060132	0.694516	2831777	0.64269	53767537306	440613499	52374990703	97.200262	118.844896	151	151	63.532028	34584484	0.066032	33407845	0.063786	53062628536	98.476417	435176668	98.766077	52013437581	99.309684	328145277	0.62653	35775152759	67.420619	238509206	54.807443	50698410580	96.798892	687637833	1.295899	17717332	4.071296	820961481	1.523583	5436831	1.233923	455078	0.103283	53883590017	440613499	1154161063	1.085063	31046275	3.557374	434721590	881226998	424076597	96.246846	881226998	100.0	1283041413	1.191851	8496963	0.96422	2605054	0.591233	704424410	79.936771	638331085	66093325	7.500148	2930020229	2896070485	9271133	697539	0.022502	0.299076	93.423963	2819622333	90.957832	94.519143	2684196985	86.589163	1731464809	55.855099	407241069	13.137137	56633506	1340209	0.043234	1.826933	23091130	0.744894	16802925	0.542043	30.740984	31	124.548374	704424410	0	0	704424410	702476414	881226998	107651127323	881226998
RIH0_ANA0-HG003-19_bwa2a	bwa2a	106587588486	97.640328	148.378842	151	151	14.472096	1.88122	38661688	0.036272	10746032025	9.945721	71165775	9.945721	0	0.0	results/day/hg38/RIH0_ANA0-HG003-19/align/bwa2a/RIH0_ANA0-HG003-19.bwa2a.mrkdup.sort.bam	41646135899	423.19965	385	286	181.591762	37607745	0.035283	108698689068	99.574217	719858868	99.574217	105952010131	99.403703	597970610	0.561013	74818617023	68.831205	498923660	69.308538	103414422222	97.02295	53540396557	98.19828	148.9264	151	151	12.718264	19538628	0.036493	18771739	0.035061	54381552532	99.741041	360142732	99.741041	53268696236	99.492532	252928582	0.472407	38985664069	71.689134	259576972	72.076138	52192384702	97.482253	574206699	1.055885	13916316	3.864111	141191342	0.258959	935042	0.258959	1392655	0.384861	54522743874	361077774	53047191929	97.083581	147.830635	151	151	16.018263	19123060	0.036049	18836006	0.035508	54317136536	99.407753	359716136	99.407753	52683313895	99.314048	345042028	0.650444	35832952954	65.969886	239346688	66.537657	51222037520	96.559376	884994267	1.62931	19599294	5.448545	323608402	0.592247	2143102	0.592247	212480	0.058719	54640744938	361859238	1459200966	1.342427	33515610	4.655858	359503656	722937012	352854105	97.511427	722937012	100.0	464799744	0.425783	3078144	0.425783	750447	0.207386	715541652	98.97704	644375877	71165775	9.84398	2929410819	2899543317	9138440	850204	0.027427	0.294796	93.535993	2826553915	91.181437	94.499484	2697671819	87.023846	1768568275	57.052015	404762087	13.057168	53709656	1384285	0.044655	1.732613	23537318	0.759287	17151499	0.553288	30.960142	31	139.68111	715541652	0	0	715541652	713964402	722937012	109163488812	722937012
RIH0_ANA0-HG003-19_sent	sent	106551432212	97.573315	148.332232	151	151	14.619023	1.904741	39234733	0.036822	10726236378	9.930324	71034678	9.930324	0	0.0	results/day/hg38/RIH0_ANA0-HG003-19/align/sent/RIH0_ANA0-HG003-19.sent.mrkdup.sort.bam	42519220955	423.267863	385	286	181.874007	36545872	0.034299	108704781465	99.545222	719899215	99.545222	105920944439	99.408278	593941901	0.557423	74862949479	68.868129	499274385	69.353373	103383982786	97.027305	53524612871	98.140165	148.880944	151	151	12.873323	19810358	0.037012	18243991	0.034085	54386491289	99.720464	360175439	99.720464	53255259746	99.496768	251109134	0.469147	39005745760	71.719548	259720139	72.109342	52178389699	97.484852	578725483	1.064098	14147379	3.927913	152456244	0.279536	1009644	0.279536	1479713	0.408757	54538947533	361185083	53026819341	97.007747	147.782832	151	151	16.160637	19424375	0.036631	18301881	0.034514	54318290176	99.370376	359723776	99.370376	52665684693	99.318958	342832767	0.646527	35857203719	66.01313	239554246	66.593943	51205593087	96.565462	884807148	1.62893	19825910	5.511426	344168109	0.629624	2279259	0.629624	240556	0.066451	54662458285	362003035	1463532631	1.346337	33973289	4.719173	359483220	723188118	352773009	97.45029	723188118	100.0	496624353	0.454778	3288903	0.454778	799546	0.220867	715330893	98.91353	644296215	71034678	9.822434	2929664886	2899629494	9385650	837695	0.027023	0.30277	93.538773	2826467713	91.178656	94.50768	2697395744	87.01494	1767890264	57.030143	404281644	13.041669	53763440	1380608	0.044537	1.734348	23835709	0.768913	17515612	0.565034	30.953725	31	135.356198	715330893	0	0	715330893	713641082	723188118	109201405818	723188118
RIH0_ANA0-HG003-19_strobe	strobe	106063420473	97.539073	119.318239	151	151	63.173636	2.439531	64445803	0.060762	10587760771	9.875135	70117621	9.875135	0	0.0	results/day/hg38/RIH0_ANA0-HG003-19/align/strobe/RIH0_ANA0-HG003-19.strobe.mrkdup.sort.bam	40230420500	425.409208	386	286	181.799816	63732197	0.060089	107216367821	98.599358	878546383	98.86495	105416822229	99.390366	582866047	0.549545	74881422494	69.841409	498540419	56.746056	102993847324	97.105908	53289704491	98.129358	119.629463	151	151	62.9046	29960644	0.056222	30794272	0.057787	53749180991	98.975452	440631726	99.170709	53013002700	99.480759	245907519	0.461454	39027158364	72.609773	259521865	58.89768	51986628298	97.554732	459476500	0.854853	12766315	2.897275	556386378	1.024548	3684678	0.829291	3243673	0.730037	54305567369	444316404	52773715982	96.95018	119.005085	151	151	63.441649	34485159	0.065345	32937925	0.062414	53467186830	98.22415	437914657	98.559192	52403819529	99.29909	336958528	0.638497	35854264130	67.058445	239018554	54.581081	51007219026	96.652696	693470848	1.297003	17373660	3.967362	966663797	1.77585	6401747	1.440808	526604	0.11852	54433850627	444316404	1152947348	1.075346	30139975	3.430664	437388053	888632808	426770592	96.051055	888632808	100.0	1523050175	1.400642	10086425	1.13505	3158074	0.710771	710042171	79.902764	639924550	70117621	7.890506	2929934077	2898454660	9392192	827811	0.026704	0.302982	93.500874	2824109019	91.102567	94.516364	2693224801	86.88039	1753138646	56.554273	395213641	12.749146	51846165	1395868	0.045029	1.672499	23079640	0.744523	17080448	0.550996	30.822678	31	127.363708	710042171	0	0	710042171	707780694	888632808	108739417996	888632808
RIH0_ANA0-HG004-19_bwa2a	bwa2a	107234311923	97.987035	148.671336	151	151	13.358	1.777708	38999641	0.036369	10786156349	9.940793	71431499	9.940793	0	0.0	results/day/hg38/RIH0_ANA0-HG004-19/align/bwa2a/RIH0_ANA0-HG004-19.bwa2a.mrkdup.sort.bam	40984429468	404.360119	368	285	170.576768	39468075	0.036805	109139815938	99.728219	722780238	99.728219	106629372765	99.435872	565471083	0.527323	76310557532	69.919998	508323230	70.328878	104221739232	97.190663	53817592179	98.431846	149.10902	151	151	11.861975	19721527	0.036645	19906990	0.03699	54599053989	99.861132	361583139	99.861132	53553408643	99.509113	244276546	0.453897	39518598351	72.379639	262927448	72.715627	52500027088	97.551795	507185259	0.928927	13461548	3.722947	75926273	0.138868	502823	0.138868	1079813	0.297745	54674980262	362085962	53416719744	97.542933	148.233184	151	151	14.690897	19278114	0.03609	19561085	0.03662	54540761949	99.595518	361197099	99.595518	53075964122	99.362081	321194537	0.6013	36791959181	67.457729	245395782	67.939577	51721712144	96.826822	762480708	1.398002	18266394	5.057182	221503259	0.404482	1466909	0.404482	134304	0.037033	54762265208	362664008	1269665967	1.163339	31727942	4.389708	361062795	724749970	354723860	97.810605	724749970	100.0	297429532	0.271781	1969732	0.271781	387096	0.106737	718569390	99.147212	647137891	71431499	9.85602	2911069375	2889208594	8440601	743489	0.023984	0.272284	93.202606	2871185579	92.621204	93.90781	2796389634	90.208371	1791722660	57.798949	396158774	12.779635	52719643	1219373	0.039336	1.700676	22408263	0.722865	16056914	0.517978	31.146989	31	128.651384	718569390	0	0	718569390	717373850	724749970	109437245470	724749970
