Sample	aligner	var_caller	cpu_time	wall_time	compute_efficiency	num_task_threads	cost_per_task	per_vcpu_seconds	theoretical_min_cost_per_task	Fscore(all)	Fscore(SNPts)	Fscore(SNPtv)	Fscore(SNPall)	Fscore(INS50)	Fscore(Del50)	Fscore(Indel50)	YieldBases	WgsCoverageMedian	WgsCoverageMean	cost_per_vcpu_sec	cost_per_vcpu_sec_gb
RIH0_ANA0-HG001-19	bwa2a	alNsort	488703.36	3148.0411	0.8085	192.0	1.584427	2545.33	1.9597118119975263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109687606943.0	31.0	31.121273	3.242103757993397e-06	2.9557612280466477e-08
RIH0_ANA0-HG001-19	bwa2a	deep	421081.82	22429.2159	0.9570223206929237	1536.0	3.5156129999999997	274.1418098958333	3.673491123440622	0.9971828688494364	0.9973609497224063	0.9968008483810972	0.9970808990517517	0.9962612098753186	0.9979638338100548	0.9982149232416994	109687606943.0	31.0	31.121273	8.349002101301832e-06	7.611618426173208e-08
RIH0_ANA0-HG001-19	bwa2a	mrkdup	54195.84	636.9267	0.4432	192.0	0.320569	282.27	0.7233055054151625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109687606943.0	31.0	31.121273	5.915011189050673e-06	5.392597535767603e-08
RIH0_ANA0-HG001-19	sent	alNsort	64417.92	2204.9621	0.1522	192.0	1.329347	335.51	8.734211563731932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109715090151.0	31.0	31.114988	2.063629188896506e-05	1.880898230185428e-07
RIH0_ANA0-HG001-19	sent	mrkdup	49042.56	657.4164	0.3885	192.0	0.396349	255.42999999999998	1.0202033462033462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109715090151.0	31.0	31.114988	8.08173553745971e-06	7.366111194309627e-08
RIH0_ANA0-HG001-19	sent	sentd	7348617.88	1045.5016	69.36634894629628	192.0	0.390403	38274.051458333335	0.005628132458034538	0.9971418351686239	0.9972180652778682	0.996663510722309	0.9969407880000886	0.99761047146601	0.9980131195784818	0.9983821359361388	109715090151.0	31.0	31.114988	5.312604443109239e-08	4.842182087985841e-10
RIH0_ANA0-HG002-19	bwa2a	alNsort	473408.64	3090.9134	0.7977	192.0	1.555674	2465.67	1.9501993230537797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108107315386.0	31.0	30.863609	3.2861123954138225e-06	3.039676254729546e-08
RIH0_ANA0-HG002-19	bwa2a	deep	186734.13999999998	23323.9456	0.6148166792317676	1536.0	3.897316	121.57170572916665	6.338988728916425	0.9968109122208421	0.9968686378057728	0.9965669142190551	0.996717776012414	0.9961080301147761	0.9977045491841363	0.999216544220905	108107315386.0	31.0	30.863609	2.087093447400674e-05	1.930575595137713e-07
RIH0_ANA0-HG002-19	bwa2a	mrkdup	52602.240000000005	718.9722	0.3811	192.0	0.361863	273.97	0.9495224350564156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108107315386.0	31.0	30.863609	6.87923175895171e-06	6.363336037334045e-08
RIH0_ANA0-HG002-19	sent	alNsort	45173.76	2240.4406	0.10500000000000001	192.0	1.350737	235.28	12.864161904761904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108147477309.0	31.0	30.85845	2.990092035730477e-05	2.7648282790611544e-07
