Sample	aligner	var_caller	cpu_time	wall_time	compute_efficiency	num_task_threads	cost_per_task	per_vcpu_seconds	theoretical_min_cost_per_task	Fscore(all)	Fscore(SNPts)	Fscore(SNPtv)	Fscore(SNPall)	Fscore(INS50)	Fscore(Del50)	Fscore(Indel50)	YieldBases	WgsCoverageMedian	WgsCoverageMean	cost_per_vcpu_sec	cost_per_vcpu_sec_gb
DAY_all.	final_multiqc	unknown	169.48	103.4862	0.4094	4.0	0.001646	42.37	0.004020517830972154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.712060420108567e-06	0.0
RIH0_ANA0-HG001-19	bwa2a	alNsort	494810.88	2849.8435	0.9043	192.0	2.571825	2577.14	2.8439953555236093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	5.197591855700505e-06	4.7335434136437254e-08
RIH0_ANA0-HG001-19	bwa2a	alignstats	33826.88	802.4315	1.3174	32.0	0.109649	1057.09	0.08323136480947321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	3.241475418365513e-06	2.95207185232596e-08
RIH0_ANA0-HG001-19	bwa2a	deep	20381.62	121015.1833	0.0053973466289725745	1536.0	35.819764000000006	13.269283854166666	6636.550598348093	0.9970548852019326	0.9972127167669421	0.9966583952729967	0.9969355560199694	0.9963066803894429	0.9979166345159648	0.9982158626033989	109803405219.0	31.0	30.70819	0.0017574542161025476	1.6005461876135367e-05
RIH0_ANA0-HG001-19	bwa2a	dysgu	74812.31999999999	1888.7359	0.6206365163384856	64.0	0.514857	1168.9424999999999	0.8295628543377633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	6.881981470431609e-06	6.267548312099865e-08
RIH0_ANA0-HG001-19	bwa2a	goleft	18.56	1.7956	0.646	16.0	0.000118	1.16	0.0001826625386996904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	6.357758620689656e-06	5.790128828891302e-08
RIH0_ANA0-HG001-19	bwa2a	manta	145.92	389.1658	0.0029	128.0	0.204586	1.14	70.54689655172415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	0.0014020422149122807	1.2768658787183736e-05
RIH0_ANA0-HG001-19	bwa2a	mosdepth	8503.52	699.6443	0.7596	16.0	0.045833	531.47	0.06033833596629805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	5.389885600316104e-06	4.9086688974409485e-08
RIH0_ANA0-HG001-19	bwa2a	mrkdup	48863.04	869.9978	0.3383096701310438	192.0	0.712862	254.495	2.107128654418521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	1.4588981774363607e-05	1.3286456595099457e-07
RIH0_ANA0-HG001-19	bwa2a	norm_cov_eveness	203.2	1152.7084	0.011	16.0	0.075513	12.7	6.8648181818181815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109803405219.0	31.0	30.70819	0.000371619094488189	3.3844040970041366e-06
